"Time","MilaAspectDpuMode"
2025-08-22 16:55:40,IMAGER_ON
2025-08-22 16:55:50,IMAGER_ON
2025-08-22 16:56:00,IMAGER_ON
2025-08-22 16:56:10,IMAGER_ON
2025-08-22 16:56:20,IMAGER_ON
2025-08-22 16:56:30,IMAGER_ON
2025-08-22 16:56:40,IMAGER_ON
2025-08-22 16:56:50,IMAGER_ON
2025-08-22 16:57:00,IMAGER_ON
2025-08-22 16:57:10,IMAGER_ON
2025-08-22 16:57:20,IMAGER_ON
2025-08-22 16:57:30,IMAGER_ON
2025-08-22 16:57:40,IMAGER_ON
2025-08-22 16:57:50,IMAGER_ON
2025-08-22 16:58:00,IMAGER_ON
2025-08-22 16:58:10,IMAGER_ON
2025-08-22 16:58:20,IMAGER_ON
2025-08-22 16:58:30,IMAGER_ON
2025-08-22 16:58:40,IMAGER_ON
2025-08-22 16:58:50,IMAGER_ON
2025-08-22 16:59:00,IMAGER_ON
2025-08-22 16:59:10,IMAGER_ON
2025-08-22 16:59:20,IMAGER_ON
2025-08-22 16:59:30,IMAGER_ON
2025-08-22 16:59:40,IMAGER_ON
2025-08-22 16:59:50,PAYLOAD_IDLE
2025-08-22 17:00:00,PAYLOAD_IDLE
2025-08-22 17:00:10,PAYLOAD_IDLE
2025-08-22 17:00:20,PAYLOAD_IDLE
2025-08-22 17:00:30,PAYLOAD_IDLE
2025-08-22 17:00:40,PAYLOAD_IDLE
2025-08-22 17:00:50,PAYLOAD_IDLE
2025-08-22 17:01:00,PAYLOAD_IDLE
2025-08-22 17:01:10,PAYLOAD_IDLE
2025-08-22 17:01:20,PAYLOAD_IDLE
2025-08-22 17:01:30,PAYLOAD_IDLE
2025-08-22 17:01:40,PAYLOAD_IDLE
2025-08-22 17:01:50,PAYLOAD_IDLE
2025-08-22 17:02:00,PAYLOAD_IDLE
2025-08-22 17:02:10,PAYLOAD_IDLE
2025-08-22 17:02:20,PAYLOAD_IDLE
2025-08-22 17:02:30,PAYLOAD_IDLE
